REF_DATE,GEO,DGUID,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2544,,,,0
2007/2008,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2310,,,,0
2008/2009,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2157,,,,0
2009/2010,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2112,,,,0
2010/2011,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2154,,,,0
2011/2012,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2211,,,,0
2012/2013,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2553,,,,0
2013/2014,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,3093,,,,0
2014/2015,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,3603,,,,0
2015/2016,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,4164,,,,0
2016/2017,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,4599,,,,0
2017/2018,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,4911,,,,0
2018/2019,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,5418,,,,0
2019/2020,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,6162,,,,0
2020/2021,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,6810,,,,0
2021/2022,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,7287,,,,0
2006/2007,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1164,,,,0
2007/2008,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1143,,,,0
2008/2009,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1125,,,,0
2009/2010,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1329,,,,0
2010/2011,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1386,,,,0
2011/2012,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1632,,,,0
2012/2013,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1809,,,,0
2013/2014,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,2004,,,,0
2014/2015,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,2220,,,,0
2015/2016,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,2490,,,,0
2016/2017,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,2478,,,,0
2017/2018,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,2361,,,,0
2018/2019,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,2586,,,,0
2019/2020,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,3192,,,,0
2020/2021,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,3297,,,,0
2021/2022,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,3177,,,,0
2006/2007,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,2469,,,,0
2007/2008,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,2676,,,,0
2008/2009,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,2853,,,,0
2009/2010,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,3312,,,,0
2010/2011,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,3804,,,,0
2011/2012,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,4437,,,,0
2012/2013,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,5019,,,,0
2013/2014,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,5538,,,,0
2014/2015,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,6081,,,,0
2015/2016,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,6210,,,,0
2016/2017,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,6501,,,,0
2017/2018,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,7101,,,,0
2018/2019,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,7980,,,,0
2019/2020,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,8580,,,,0
2020/2021,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,9174,,,,0
2021/2022,Alberta,2016A000248,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54515793,10.2.1.5.1.1.3.1,9852,,,,0
